gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id,team_name,team_rating,team_region,team_seed,team_slot
mens,2019-03-19,0,1,0.992198288,0.908476972,0.717525858,0.524399532,0.321612944,0.193305369,1,1,150,Duke,96.3,East,1,0
mens,2019-03-19,0,1,0.981433839,0.882198803,0.726784067,0.493112679,0.315199717,0.172221393,1,1,258,Virginia,95.22,South,1,96
mens,2019-03-19,0,1,0.98918991,0.882550424,0.714553937,0.495228514,0.261681799,0.147785095,1,1,2250,Gonzaga,95.02,West,1,32
mens,2019-03-19,0,1,0.977912625,0.862688419,0.567248609,0.351064506,0.178717242,0.087308068,1,1,153,North Carolina,93.24,Midwest,1,64
mens,2019-03-19,0,1,0.964466023,0.739581919,0.542835477,0.224754141,0.12359388,0.067125448,1,1,127,Michigan State,92.28,East,2,28
mens,2019-03-19,0,1,0.969115415,0.731389742,0.473552877,0.242296583,0.113744476,0.051482755,1,1,96,Kentucky,91.24,Midwest,2,92
mens,2019-03-19,0,1,0.949730551,0.688962368,0.441466892,0.205959064,0.110637675,0.049956165,1,1,2633,Tennessee,91.34,South,2,124
mens,2019-03-19,0,1,0.939970362,0.690616653,0.397819681,0.166824246,0.07856447,0.0402327,1,1,130,Michigan,91.04,West,2,60
mens,2019-03-19,0,1,0.906052267,0.65279069,0.343234274,0.141852725,0.056543539,0.025111551,1,1,2641,Texas Tech,89.65,West,3,52
mens,2019-03-19,0,1,0.880954341,0.506146028,0.248497224,0.102969987,0.052164143,0.022141181,1,1,2509,Purdue,89.04,South,3,116
mens,2019-03-19,0,1,0.888465655,0.617061364,0.18760744,0.102926648,0.044897545,0.019749045,1,1,259,Virginia Tech,89.26,East,4,12
mens,2019-03-19,0,1,0.774212863,0.491551426,0.209451877,0.10957863,0.045057709,0.018022183,1,1,2,Auburn,89.02,Midwest,5,72
mens,2019-03-19,0,1,0.891457523,0.532146811,0.234664774,0.095596543,0.034666721,0.012341139,1,1,248,Houston,87.89,Midwest,3,84
mens,2019-03-19,0,1,0.790291943,0.536401098,0.153666053,0.07257621,0.027018791,0.011314427,1,1,52,Florida State,88.44,West,4,44
mens,2019-03-19,0,1,0.825215986,0.382696173,0.156335057,0.079138098,0.027770796,0.009590216,1,1,2305,Kansas,86.3,Midwest,4,76
mens,2019-03-19,0,1,0.672818443,0.328697223,0.145097609,0.059168841,0.022819593,0.008600437,1,1,66,Iowa State,86.12,Midwest,6,80
mens,2019-03-19,0,1,0.600613747,0.330328696,0.088253984,0.037995757,0.018055747,0.00717114,1,1,275,Wisconsin,86.54,South,5,104
mens,2019-03-19,0,1,0.752671355,0.390544905,0.148670882,0.048236918,0.020356284,0.007162924,1,1,222,Villanova,86.96,South,6,112
mens,2019-03-19,0,1,0.766624334,0.409934254,0.10153103,0.041188869,0.018410351,0.006867077,1,1,2306,Kansas State,86.65,South,4,108
mens,2019-03-19,0,1,0.844167126,0.490698182,0.156626336,0.037254442,0.013217625,0.004825624,1,1,99,Louisiana State,86.37,East,3,20
mens,2019-03-19,0,1,0.676901805,0.228691031,0.109691831,0.036514807,0.014440923,0.004760496,1,1,2132,Cincinnati,85.44,South,7,120
mens,2019-03-19,0,1,0.677598713,0.194237036,0.108708949,0.028921165,0.010892082,0.004196455,1,1,97,Louisville,85.9,East,7,24
mens,2019-03-19,0,1,0.577826724,0.183307318,0.096080611,0.036129982,0.011265274,0.004044451,1,1,2440,Nevada,86.11,West,7,56
mens,2019-03-19,0,1,0.620621966,0.312838109,0.125344416,0.037627623,0.011803213,0.003855683,1,1,120,Maryland,84.82,East,6,16
mens,2019-03-19,0,1,0.694966252,0.248646934,0.09198526,0.026781421,0.009035399,0.003474633,1,1,2084,Buffalo,85.74,West,6,48
mens,2019-03-19,0,1,0.786447979,0.308244649,0.055456329,0.021208288,0.007144686,0.002489328,1,1,344,Mississippi State,85.11,East,5,8
mens,2019-03-19,0,1,0.640227661,0.263693311,0.053412403,0.01931978,0.006289704,0.002344867,1,1,269,Marquette,84.41,West,5,40
mens,2019-03-19,0,1,0.633499193,0.185529987,0.078656488,0.025003347,0.007437319,0.002204235,1,1,2747,Wofford,84.38,Midwest,7,88
mens,2019-03-19,0,1,0.602978207,0.079203168,0.037510623,0.013040784,0.003821248,0.001299195,1,1,183,Syracuse,83.92,West,8,36
mens,2019-03-19,0,1,0.422173276,0.113816075,0.042538069,0.01112973,0.003136246,0.001030223,1,1,57,Florida,83.95,West,10,58
mens,2019-03-19,0,1,0.327181557,0.116970136,0.036446373,0.010599842,0.002977808,0.000837063,1,1,194,Ohio State,82.59,Midwest,11,82
mens,2019-03-19,0,1,0.529087523,0.062473829,0.028344385,0.00849249,0.002822743,0.000783169,1,1,201,Oklahoma,83.01,South,9,102
mens,2019-03-19,0,1,0.323098195,0.073558729,0.026239668,0.006412181,0.002360138,0.000724277,1,1,2294,Iowa,82.36,South,10,122
mens,2019-03-19,1,1,0.379378034,0.156506176,0.037338535,0.006632388,0.001778942,0.000504174,1,1,2057,Belmont,81.74,East,11,18
mens,2019-03-19,0,1,0.399386253,0.188559936,0.026181271,0.006493741,0.001937321,0.000483433,1,1,2483,Oregon,82.64,South,12,106
mens,2019-03-19,0,1,0.366500807,0.079082807,0.027712217,0.007234187,0.001861258,0.000482246,1,1,2550,Seton Hall,82.2,Midwest,10,90
mens,2019-03-19,0,1,0.247328645,0.078327583,0.020556445,0.004720205,0.001641347,0.000476119,1,1,2608,Saint Mary's (CA),83.58,South,11,114
mens,2019-03-19,0,1,0.505994712,0.06773532,0.022125786,0.007009077,0.001784128,0.000457689,1,1,328,Utah State,82.26,Midwest,8,68
mens,2019-03-19,0,1,0.470912477,0.051603653,0.022253211,0.006280413,0.001813964,0.000438541,1,1,145,Mississippi,81.64,South,8,100
mens,2019-03-19,0,1,0.494005288,0.065142172,0.020542703,0.006295407,0.001580508,0.000400292,1,1,264,Washington,82.55,Midwest,9,70
mens,2019-03-19,0,1,0.504988959,0.046044131,0.017880508,0.006235639,0.001528691,0.000399145,1,1,2670,Virginia Commonwealth,81.7,East,8,4
mens,2019-03-19,0,1,0.322401287,0.060590913,0.021971166,0.003373,0.001060004,0.000346841,1,1,135,Minnesota,80.84,East,10,26
mens,2019-03-19,0,1,0.359772339,0.111988913,0.017033857,0.004854003,0.00115296,0.000325386,1,1,93,Murray State,81.29,West,12,42
mens,2019-03-19,1,1,0.305033748,0.072194647,0.021867729,0.005478556,0.001213449,0.000321942,1,1,9,Arizona State,80.87,West,11,50
mens,2019-03-19,0,1,0.495011041,0.044527306,0.014591605,0.004312949,0.001048328,0.000271589,1,1,2116,Central Florida,81.72,East,9,6
mens,2019-03-19,0,1,0.225787137,0.09046318,0.01853298,0.005270449,0.001152597,0.000256726,1,1,166,New Mexico State,80.91,Midwest,12,74
mens,2019-03-19,0,1,0.397021793,0.036919247,0.014291283,0.003964652,0.000816031,0.000202435,1,1,239,Baylor,80.76,West,9,38
mens,2019-03-19,0,1,0.209708057,0.087916679,0.009395211,0.001961301,0.000351648,7.69E-05,1,1,261,Vermont,79.29,West,13,46
mens,2019-03-19,0,1,0.174784014,0.035289221,0.005376261,0.001170888,0.000211488,3.94E-05,1,1,111,Northeastern,78.58,Midwest,13,78
mens,2019-03-19,0,1,0.213552021,0.041506648,0.004370536,0.001086966,0.000196874,3.89E-05,1,1,2335,Liberty,78.02,East,12,10
mens,2019-03-19,0,1,0.233375666,0.071177114,0.006111064,0.000971059,0.00019088,3.17E-05,1,1,300,UC-Irvine,78.36,South,13,110
mens,2019-03-19,0,1,0.155832874,0.039957533,0.006337374,0.00075021,0.00011924,2.09E-05,1,1,43,Yale,77.11,East,14,22
mens,2019-03-19,0,1,0.093947733,0.02636773,0.004168041,0.000544728,8.70E-05,1.71E-05,1,1,94,Northern Kentucky,77.27,West,14,54
mens,2019-03-19,0,1,0.111534345,0.033187339,0.002493302,0.000461793,8.26E-05,1.61E-05,1,1,139,Saint Louis,77.01,East,13,14
mens,2019-03-19,0,1,0.119045659,0.024981485,0.003621364,0.000479721,8.84E-05,1.38E-05,1,1,295,Old Dominion,76.98,South,14,118
mens,2019-03-19,0,1,0.108542477,0.02218583,0.003396765,0.000497137,6.98E-05,1.02E-05,1,1,2247,Georgia State,76.3,Midwest,14,86
mens,2019-03-19,0,1,0.060029638,0.012259953,0.002306335,0.000303775,3.92E-05,6.33E-06,1,1,149,Montana,76.17,West,15,62
mens,2019-03-19,0,1,0.050269449,0.008787872,0.001255694,0.000125275,1.86E-05,2.35E-06,1,1,2142,Colgate,74.95,South,15,126
mens,2019-03-19,0,1,0.035533977,0.005590132,0.000837748,4.97E-05,5.54E-06,6.95E-07,1,1,71,Bradley,72.91,East,15,30
mens,2019-03-19,0,1,0.018566161,0.003723714,0.000540989,4.68E-05,4.27E-06,3.36E-07,1,1,2241,Gardner-Webb,71.74,South,16,98
mens,2019-03-19,0,1,0.030884585,0.003997463,0.000472897,4.20E-05,3.49E-06,3.10E-07,1,1,2000,Abilene Christian,72.33,Midwest,15,94
mens,2019-03-19,0,1,0.022087375,0.004434089,0.000386727,3.45E-05,2.59E-06,2.08E-07,1,1,314,Iona,71.88,Midwest,16,66
mens,2019-03-19,1,1,0.007801712,0.000951591,7.44E-05,5.52E-06,4.84E-07,4.98E-08,0,1,2449,North Dakota State,70.35,East,16,3
mens,2019-03-19,1,1,0.01081009,0.001327161,0.000136633,9.59E-06,6.00E-07,4.85E-08,1,1,161,Fairleigh Dickinson,70.86,West,16,34
mens,2019-03-17,0,1,0.992198288,0.908476972,0.717525858,0.524314678,0.321583732,0.193290146,1,1,150,Duke,96.3,East,1,0
mens,2019-03-17,0,1,0.981433839,0.882198803,0.726784067,0.493112679,0.315199717,0.172234052,1,1,258,Virginia,95.22,South,1,96
mens,2019-03-17,0,1,0.988242418,0.881742207,0.713949649,0.494862673,0.261628703,0.147768011,1,1,2250,Gonzaga,95.02,West,1,32
mens,2019-03-17,0,1,0.977912625,0.862688419,0.567248609,0.351064506,0.178717242,0.087316232,1,1,153,North Carolina,93.24,Midwest,1,64
mens,2019-03-17,0,1,0.964466023,0.739581919,0.541654023,0.224345777,0.123409908,0.067041235,1,1,127,Michigan State,92.28,East,2,28
mens,2019-03-17,0,1,0.969115415,0.731389742,0.473552877,0.242296583,0.113744476,0.05148831,1,1,96,Kentucky,91.24,Midwest,2,92
mens,2019-03-17,0,1,0.949730551,0.688962368,0.441466892,0.205959064,0.110637675,0.049961578,1,1,2633,Tennessee,91.34,South,2,124
mens,2019-03-17,0,1,0.939970362,0.690616653,0.397819681,0.166888801,0.07863054,0.040263546,1,1,130,Michigan,91.04,West,2,60
mens,2019-03-17,0,1,0.906052267,0.65279069,0.343234274,0.141908692,0.056599768,0.025134251,1,1,2641,Texas Tech,89.65,West,3,52
mens,2019-03-17,0,1,0.880954341,0.506146028,0.248497224,0.102969987,0.052164143,0.022143848,1,1,2509,Purdue,89.04,South,3,116
mens,2019-03-17,0,1,0.888465655,0.617061364,0.18760744,0.102882901,0.044885236,0.019744379,1,1,259,Virginia Tech,89.26,East,4,12
mens,2019-03-17,0,1,0.774212863,0.491551426,0.209451877,0.10957863,0.045057709,0.018024566,1,1,2,Auburn,89.02,Midwest,5,72
mens,2019-03-17,0,1,0.891457523,0.532146811,0.234664774,0.095596543,0.034666721,0.012343065,1,1,248,Houston,87.89,Midwest,3,84
mens,2019-03-17,0,1,0.790291943,0.536401098,0.153841659,0.072654049,0.027064807,0.011332289,1,1,52,Florida State,88.44,West,4,44
mens,2019-03-17,0,1,0.825215986,0.382696173,0.156335057,0.079138098,0.027770796,0.009591773,1,1,2305,Kansas,86.3,Midwest,4,76
mens,2019-03-17,0,1,0.672818443,0.328697223,0.145097609,0.059168841,0.022819593,0.008601678,1,1,66,Iowa State,86.12,Midwest,6,80
mens,2019-03-17,0,1,0.600613747,0.330328696,0.088253984,0.037995757,0.018055747,0.007172099,1,1,275,Wisconsin,86.54,South,5,104
mens,2019-03-17,0,1,0.752671355,0.390544905,0.148670882,0.048236918,0.020356284,0.007164059,1,1,222,Villanova,86.96,South,6,112
mens,2019-03-17,0,1,0.766624334,0.409934254,0.10153103,0.041188869,0.018410351,0.006868083,1,1,2306,Kansas State,86.65,South,4,108
mens,2019-03-17,0,1,0.844167126,0.496374731,0.15815622,0.037550595,0.013304632,0.004850845,1,1,99,Louisiana State,86.37,East,3,20
mens,2019-03-17,0,1,0.676901805,0.228691031,0.109691831,0.036514807,0.014440923,0.004761315,1,1,2132,Cincinnati,85.44,South,7,120
mens,2019-03-17,0,1,0.677598713,0.194237036,0.108269952,0.0288227,0.010861943,0.004186768,1,1,97,Louisville,85.9,East,7,24
mens,2019-03-17,0,1,0.577826724,0.183307318,0.096080611,0.036146004,0.011279618,0.004049154,1,1,2440,Nevada,86.11,West,7,56
mens,2019-03-17,0,1,0.646456053,0.324224606,0.129199265,0.038565464,0.012034486,0.003912188,1,1,120,Maryland,84.82,East,6,16
mens,2019-03-17,0,1,0.694966252,0.248646934,0.09198526,0.026796742,0.009047385,0.003478878,1,1,2084,Buffalo,85.74,West,6,48
mens,2019-03-17,0,1,0.786447979,0.308244649,0.055456329,0.021189876,0.007140051,0.002487882,1,1,344,Mississippi State,85.11,East,5,8
mens,2019-03-17,0,1,0.640227661,0.263693311,0.053497714,0.019349016,0.006303974,0.002349866,1,1,269,Marquette,84.41,West,5,40
mens,2019-03-17,0,1,0.633499193,0.185529987,0.078656488,0.025003347,0.007437319,0.002204663,1,1,2747,Wofford,84.38,Midwest,7,88
mens,2019-03-17,0,1,0.602978207,0.079560026,0.037674984,0.013096075,0.003840524,0.001305498,1,1,183,Syracuse,83.92,West,8,36
mens,2019-03-17,0,1,0.422173276,0.113816075,0.042538069,0.011136667,0.003141115,0.001031703,1,1,57,Florida,83.95,West,10,58
mens,2019-03-17,0,1,0.327181557,0.116970136,0.036446373,0.010599842,0.002977808,0.000837235,1,1,194,Ohio State,82.59,Midwest,11,82
mens,2019-03-17,0,1,0.529087523,0.062473829,0.028344385,0.00849249,0.002822743,0.000783332,1,1,201,Oklahoma,83.01,South,9,102
mens,2019-03-17,0,1,0.323098195,0.073558729,0.026239668,0.006412181,0.002360138,0.000724412,1,1,2294,Iowa,82.36,South,10,122
